date,goog,direct,fb
2017-01-02,660000000,820000000,845000000
2017-01-09,635079434,799865278,801373440
2017-01-16,630164135,806723821,826518291
2017-01-23,588875625,775713410,842373651
2017-01-30,649825331,839742804,859979911
2017-02-06,596543491,834353949,833570522
2017-02-13,653364346,845768524,805750687
2017-02-20,597772316,804323331,804145696
2017-02-27,597772316,813190447,796850285
2017-03-06,631147195,835333741,799671177
2017-03-13,660000000,822057562,776423133
2017-03-20,680693408,842633190,789603510
2017-03-27,689147722,872614819,723604356
2017-04-03,711856403,863649724,710423979
2017-04-10,723653120,863649724,653276591
2017-04-17,686640919,846454378,593405582
2017-04-24,822598086,848609920,640047578
2017-05-01,762189063,838420085,680318249
2017-05-08,702369876,806184935,662031084
2017-05-15,744444834,833913043,678324170
2017-05-22,718983586,799865278,679637344
2017-05-29,757765294,816080832,699043138
2017-06-05,815569209,875211267,699383590
2017-06-12,802199596,857477036,640971664
2017-06-19,733926094,819804041,602743709
2017-06-26,788879136,866344151,660085641
2017-07-03,784455367,900783833,691358638
2017-07-10,771085754,883196570,691358638
2017-07-17,784455367,879620330,709597166
2017-07-24,793302905,881922841,720929371
2017-07-31,811981040,875211267,686008669
2017-08-07,818420082,889565217,681145062
2017-08-14,799201263,870753214,640047578
2017-08-21,853761081,929197795,640047578
2017-08-28,813603089,910630740,657653838
2017-09-04,903159834,967164727,710423979
2017-09-11,906846309,968242498,679637344
2017-09-18,891117352,948450704,675260097
2017-09-25,920117616,981518677,688440473
2017-10-02,914366716,979461114,640047578
2017-10-09,914366716,991708511,688440473
2017-10-16,935551654,1014194733,643549376
2017-10-23,922231194,1019485609,631244449
2017-10-30,886693583,957562767,655465214
2017-11-06,900014043,974268218,641603933
2017-11-13,928031247,996117575,552113554
2017-11-20,900014043,999252908,503720659
2017-11-27,860003510,980489895,479402622
2017-12-04,922231194,987446417,547687671
2017-12-11,917807425,990385793,570497991
2017-12-18,928277012,987985303,561986677
2017-12-25,839359255,950508266,564613026
2018-01-01,1028893180,985045927,583775639
2018-01-08,944448345,965401102,584991541
2018-01-15,1060007021,966723821,549438570
2018-01-22,1114812604,997930189,556490801
2018-01-29,1130000877,1008952847,547687671
2018-02-05,1103409110,1008120024,543310425
2018-02-12,1108914245,1024972443,537328187
2018-02-19,1144451856,1025805266,516901036
2018-02-26,1164653734,1034672382,552113554
2018-03-05,1169126656,1063821187,558971241
2018-03-12,1160770648,1024237599,554934447
2018-03-19,1172665671,1024090630,560916684
2018-03-26,1152168875,997146356,512523789
2018-04-02,1182447116,1050740967,569671177
2018-04-09,1195669270,1047948560,512523789
2018-04-16,1197832002,1034672382,525704165
2018-04-23,1206679540,1051377832,556490801
2018-04-30,1227127183,1053974280,591703319
2018-05-07,1291173527,954917330,698264960
2018-05-14,1181316597,1021396203,588882427
2018-05-21,1185396295,1043539497,578474307
2018-05-28,1211152462,1056815676,644473461
2018-06-04,1236761169,1094782608,657653838
2018-06-11,1212184674,1056815676,600457813
2018-06-18,1203976125,1021396203,623997673
2018-06-25,1233369612,1047948560,615145908
2018-07-02,1182938646,1052406613,519332839
2018-07-09,1227618713,1064164115,553961725
2018-07-16,1211152462,1072688303,552113554
2018-07-23,1203435442,1052406613,499343412
2018-07-30,1185838672,1046527862,472934024
2018-08-06,1214494865,1086160440,512523789
2018-08-13,1189918370,1039130434,565293931
2018-08-20,1233861142,1076754439,601965531
2018-08-27,1220000000,1060000000,615000000
